ID,Requirement
1,Регистрация пользователя
2,Авторизация пользователя
3,Восстановление пароля
4,Просмотр каталога товаров
5,Поиск товаров по имени
6,Фильтрация товаров по категории
7,Сортировка товаров по цене
8,Добавление товара в корзину
9,Просмотр содержимого корзины
10,Обновление количества товара в корзине
11,Удаление товара из корзины
12,Оформление заказа
13,Выбор способа оплаты
14,Выбор способа доставки
15,Ввод данных для доставки
16,Подтверждение заказа
17,Просмотр истории заказов
18,Повторение предыдущего заказа
19,Оставление отзыва о товаре
20,Ставка оценки товару
21,Получение рекомендаций товаров
22,Уведомление о статусе заказа (доставлено)
23,Управление аккаунтом (изменение пароля)
24,Добавление адресов доставки
25,Управление избранным товарам
26,Добавление товара в сравнение
27,Сравнение выбранных товаров
28,Просмотр деталей товара
29,Добавление комментариев к товару
30,Рейтинг и отзывы пользователей
31,Скидки и акции для пользователей
32,Уведомление о поступлении новых товаров
33,Интеграция с платежными системами
34,Безопасность персональных данных
35,Подтверждение возраста пользователя (если требуется)
36,Управление подпиской на новостиletters
37,Отзывы о доставке
38,Оценка качества обслуживания
39,Возврат средств
40,Отмена заказа до отгрузки
41,Отслеживание отправки заказа
42,Уведомление о промокодовых скидках
43,Персонализированные предложения
44,Доступ к истории просмотров
45,Управление предпочтениями товаров
46,Загрузка отзывов и фото отзывов
47,Система баллов за действия
48,Возможность поделиться товаром в соцсетях
49,Автоматическое заполнение адресов
50,Программа лояльности с бонусами
